text,department,sentiment,urgency,is_abusive
"Product damaged mila box kholne par, quality check nahi tha dekhte hain kya hota hai",E-Commerce,neutral,low,0
Interest rate galat calculate ki gayi meri FD par mujhe jaankari chahiye,Banking,neutral,low,0
"Ambulance bahut late aayi emergency mein, dangerous tha please help karo",Healthcare,neutral,medium,0
Insurance claim reject ho gaya without valid reason let me know the status,Healthcare,neutral,medium,0
Station par porter ne bahut zyada charge kiya worst service,Railways,negative,low,0
Hospital bill mein galat charges add kiye gaye hain unacceptable,Healthcare,negative,low,0
Reservation coach mein general passengers aa gaye jab possible ho theek kar dena,Railways,neutral,low,0
Data pack khatam nahi hua tha fir bhi band kar diya dhoka hai ye,Telecom,negative,medium,1
Reservation coach mein general passengers aa gaye solution chahiye,Railways,neutral,low,0
"Internet speed bahut slow hai, 2G jaisi feel ho rahi hai jaldi se theek karo yaar office mein problem ho rahi hai",Telecom,neutral,medium,0
Bill online pay kiya par receipt nahi mili abhi tak sab jhooth bolte ho,Electricity,negative,medium,0
"mera account se paise kat gaye bina kisi reason ke, please help karo jab possible ho theek kar dena",Banking,neutral,low,0
Seller ne galat description diya product ka confident hoon aap resolve kar lenge,E-Commerce,positive,low,0
"Transformer kharab hai colony mein, koi nahi aa raha fix karne please resolve",Electricity,neutral,low,0
Station par porter ne bahut zyada charge kiya aasha hai jaldi theek hoga,Railways,positive,low,0
Scholarship nahi mili jo milni chahiye thi students ko pichle baar bahut achha support mila tha,Government,positive,low,0
"Medicine out of stock hai, alternative nahi bataya no rush but complaint darz kar raha hoon",Healthcare,neutral,low,0
"Ward mein cleanliness bahut kharab hai, infection risk unacceptable",Healthcare,negative,low,0
"Pension ruk gayi hai, senior citizen ko bahut problem hai bahut shukriya pehle se help ke liye",Government,positive,low,0
"Call drop ho rahi hai baar baar, baat nahi ho pa rahi confident hoon aap resolve kar lenge",Telecom,positive,low,0
"Khana bahut ganda tha train mein, quality zero hai shame on you",Railways,negative,medium,0
"Khana bahut ganda tha train mein, quality zero hai dekhte hain kya hota hai",Railways,neutral,medium,0
"Supply 12 ghante se band hai, koi update nahi de raha jaan ka khatra hai please urgent basis par",Electricity,negative,high,0
"Supply 12 ghante se band hai, koi update nahi de raha itna bura experience pehle kabhi nahi tha",Electricity,negative,low,0
"mera account se paise kat gaye bina kisi reason ke, please help karo bilkul galat hai",Banking,negative,medium,0
"Loan EMI double deduct ho gayi is month, very frustrating bahut shukriya pehle se help ke liye",Banking,positive,low,0
"Internet speed bahut slow hai, 2G jaisi feel ho rahi hai bilkul galat hai",Telecom,negative,medium,0
"Internet speed bahut slow hai, 2G jaisi feel ho rahi hai please resolve",Telecom,neutral,low,0
Medicines expire ho chuki thi jo di gayi jab possible ho theek kar dena,Healthcare,neutral,low,0
"Credit card ka bill galat hai, extra charges laga diye unhone critical situation hai please help karo abhi",Banking,negative,high,0
"Bijli bill bahut zyada aaya is baar, double ho gaya request hai",Electricity,neutral,low,0
"Ambulance bahut late aayi emergency mein, dangerous tha let me know the status",Healthcare,neutral,medium,0
"Pension ruk gayi hai, senior citizen ko bahut problem hai let me know the status",Government,neutral,medium,0
"Wrong product bheja gaya, size aur color dono galat pichle baar bahut achha support mila tha",E-Commerce,positive,low,0
5G plan liya par 4G bhi nahi milta area mein pareshaan kar diya,Telecom,negative,low,0
"Wrong product bheja gaya, size aur color dono galat jaldi se theek karo yaar office mein problem ho rahi hai",E-Commerce,negative,medium,0
New connection ke liye 3 mahine se wait kar rahe hain team pe bharosa hai,Electricity,positive,low,0
